#ClinGen Gene Curation Results
#24 Nov,2021
#Genomic Locations are reported on GRCh37 (hg19): GCF_000001405.13
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
KIF11	3832	10q23.33	chr10:94352825-94415152	3	Sufficient evidence for dosage pathogenicity	22284827	22653704					0	No evidence available							2013-08-01	152950	
KIF1A	547	2q37.3	chr2:241653181-241759725	0	No evidence available							0	No evidence available							2013-08-08		
KIF1C	10749	17p13.2	chr17:4901243-4931694	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	611302	
KIF7	374654	15q26.1	chr15:90171201-90198682	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	200990	
KIFBP	26128	10q22.1	chr10:70748477-70776739	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	609460	
KISS1	3814	1q32.1	chr1:204159469-204165619	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614842	
KLF14	136259	7q32.2	chr7:130417382-130418860	0	No evidence available							0	No evidence available							2012-04-28		
KLF8	11279	Xp11.21	chrX:55934556-56317964	0	No evidence available							0	No evidence available							2012-10-12		
KLK12	43849	19q13.41	chr19:51532348-51538148	40	Dosage sensitivity unlikely	32487729	22344438	32461654				0	No evidence available							2021-02-02		
KMT2A	4297	11q23.3	chr11:118307205-118397539	3	Sufficient evidence for dosage pathogenicity	22795537	24818805	27759909				0	No evidence available							2018-05-23	605130	
KMT2B	9757	19q13.12	chr19:36208920-36229779	3	Sufficient evidence for dosage pathogenicity	27839873	27992417					0	No evidence available							2017-05-11	617284	
KMT2C	58508	7q36.1	chr7:151832010-152133090	3	Sufficient evidence for dosage pathogenicity	23375656	22726846	29069077				0	No evidence available							2018-01-24		
KMT2D	8085	12q13.12	chr12:49412758-49449107	3	Sufficient evidence for dosage pathogenicity	20711175	21671394	21607748				0	No evidence available							2020-01-23	147920	
KRAS	3845	12p12.1	chr12:25357723-25403865	0	No evidence available							0	No evidence available							2015-10-08		
KRT24	192666	17q21.2	chr17:38854243-38860002	40	Dosage sensitivity unlikely	32487729	32461654					0	No evidence available							2021-02-02		
KRT37	8688	17q21.2	chr17:39576809-39580822	40	Dosage sensitivity unlikely	32487729	32461654					0	No evidence available							2021-02-02		
L1CAM	3897	Xq28	chrX:153126969-153151628	3	Sufficient evidence for dosage pathogenicity	19846429	23820807					0	No evidence available	23820807						2020-12-02	307000	
L3MBTL1	26013	20q13.12	chr20:42136320-42170535	0	No evidence available							0	No evidence available							2012-08-29		
LAMA1	284217	18p11.31	chr18:6941743-7117813	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615960	
LAMA2	3908	6q22.33	chr6:129204286-129837711	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-11-28		
LAMA3	3909	18q11.2	chr18:21269407-21535030	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22		
LAMC2	3918	1q25.3	chr1:183155174-183214262	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22		
LAMP2	3920	Xq24	chrX:119560003-119603204	3	Sufficient evidence for dosage pathogenicity	20173215	19588270	19057086	27145725	10972294	16565504	0	No evidence available							2021-02-09	300257	
LARGE1	9215	22q12.3	chr22:33668847-34316416	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
LBR	3930	1q42.12	chr1:225589204-225616557	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-02-23	215140	
LBX1	10660	10q24.32	chr10:102986733-102988717	0	No evidence available							0	No evidence available							2014-08-21		246560
LCA5	167691	6q14.1	chr6:80194708-80247147	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	604537	
LCT	3938	2q21.3	chr2:136545410-136594750	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	223000	
LDLR	3949	19p13.2	chr19:11200038-11244506	3	Sufficient evidence for dosage pathogenicity	33740630	15321837					0	No evidence available							2021-10-27		
LEMD3	23592	12q14.3	chr12:65563351-65642141	3	Sufficient evidence for dosage pathogenicity	15489854	17087626	19438932				0	No evidence available							2020-10-19	166700	
LEPR	3953	1p31.3	chr1:65886335-66103176	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614963	
LETM1	3954	4p16.3	chr4:1813206-1857974	0	No evidence available							0	No evidence available							2012-02-03	194190	
LFNG	3955	7p22.3	chr7:2552163-2568811	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	609813	
LHX3	8022	9q34.3	chr9:139088096-139096975	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	221750	
LHX4	89884	1q25.2	chr1:180199433-180244188	3	Sufficient evidence for dosage pathogenicity	11567216	18445675	18073311				0	No evidence available							2012-07-06		
LIG4	3981	13q33.3	chr13:108859790-108870716	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	606593	
LIMK1	3984	7q11.23	chr7:73498107-73536855	0	No evidence available							0	No evidence available							2012-08-22		
LINS1	55180	15q26.3	chr15:101109428-101142445	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614340	
LIPA	3988	10q23.31	chr10:90973326-91011796	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	278000	
LITAF	9516	16p13.13	chr16:11641578-11681322	0	No evidence available							0	No evidence available							2016-10-21		
LMAN1	3998	18q21.32	chr18:56995055-57026508	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	227300	
LMBR1	64327	7q36.3	chr7:156473570-156685902	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-10-18	200500	
LMNA	4000	1q22	chr1:156052337-156109880	2	Some evidence for dosage pathogenicity	20127487	12854972	12920062				0	No evidence available							2016-01-18	115200	
LMNB1	4001	5q23.2	chr5:126112315-126172712	0	No evidence available							3	Sufficient evidence for dosage pathogenicity	19151023	21225301					2012-07-06		169500
LMTK3	114783	19q13.33	chr19:48988528-49016446	1	Little evidence for dosage pathogenicity	28263302	22542183					0	No evidence available							2018-07-25		
LMX1B	4010	9q33.3	chr9:129376722-129463311	3	Sufficient evidence for dosage pathogenicity	9618165	9837817	18414507				0	No evidence available							2020-11-10	161200	
LOXHD1	125336	18q21.1	chr18:44056935-44236996	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613079	
LPAR6	10161	13q14.2	chr13:48985181-49018840	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	278150	
LPIN2	9663	18p11.31	chr18:2916992-3011945	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	609628	
LRAT	9227	4q32.1	chr4:155661993-155674271	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613341	
LRBA	987	4q31.3	chr4:151185811-151936649	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614700	
LRP2	4036	2q31.1	chr2:169983619-170219122	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2019-04-24	222448	
LRPAP1	4043	4p16.3	chr4:3505324-3534224	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615431	
LRPPRC	10128	2p21	chr2:44113363-44223144	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-03-20	220111	
LRRC6	23639	8q24.22	chr8:133582667-133687863	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614935	
LSS	4047	21q22.3	chr21:47608360-47648738	0	No evidence available							0	No evidence available							2012-09-06		
LYRM7	90624	5q23.3-q31.1	chr5:130506607-130541119	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615838	
LYST	1130	1q42.3	chr1:235824331-236047008	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	214500	
MAFB	9935	20q12	chr20:39314488-39317880	0	No evidence available							0	No evidence available							2015-05-21		
MAGEL2	54551	15q11.2	chr15:23888696-23892993	1	Little evidence for dosage pathogenicity							0	No evidence available							2018-05-22		
MAGT1	84061	Xq21.1	chrX:77081861-77151065	3	Sufficient evidence for dosage pathogenicity	21796205	23846901	24550228	25504528	31714901	32451662	0	No evidence available							2021-09-22		
MALT1	10892	18q21.32	chr18:56338618-56417371	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615468	
MAN2B1	4125	19p13.13	chr19:12757322-12777591	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	248500	
MAOA	4128	Xp11.3	chrX:43514155-43606071	1	Little evidence for dosage pathogenicity	8211186						0	No evidence available							2012-09-26		
MAP2K1	5604	15q22.31	chr15:66679211-66783882	0	No evidence available							0	No evidence available							2015-10-13		
MAP2K2	5605	19p13.3	chr19:4090319-4124126	1	Little evidence for dosage pathogenicity							0	No evidence available							2015-05-27		
MAP3K1	4214	5q11.2	chr5:56110900-56191979	0	No evidence available							0	No evidence available							2013-08-22		
MAPT	4137	17q21.31	chr17:43971748-44105700	0	No evidence available							0	No evidence available							2012-05-08		
MARVELD2	153562	5q13.2	chr5:68710939-68737890	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	610153	
MASP2	10747	1p36.22	chr1:11086580-11107296	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613791	
MATN3	4148	2p24.1	chr2:20191813-20212455	0	No evidence available							0	No evidence available							2014-03-12		
MAX	4149	14q23.3	chr14:65472819-65569413	3	Sufficient evidence for dosage pathogenicity	21685915	22452945	33815275	28384794			0	No evidence available							2021-07-20	171300	
MBD5	55777	2q23.1	chr2:148778580-149271046	3	Sufficient evidence for dosage pathogenicity	23422940	21981781					1	Little evidence for dosage pathogenicity							2016-08-11	156200	
MC2R	4158	18p11.21	chr18:13882043-13915706	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	202200	
MCCC1	56922	3q27.1	chr3:182733006-182817375	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	210200	
MCEE	84693	2p13.3	chr2:71336806-71357394	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-03-25	251120	
MCFD2	90411	2p21	chr2:47129009-47168994	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613625	
MCPH1	79648	8p23.1	chr8:6264113-6506026	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	251200	
MECP2	4204	Xq28	chrX:153287264-153363188	3	Sufficient evidence for dosage pathogenicity	31206249	10508514	16647997				0	No evidence available							2021-02-22	312750	300260
MED12	9968	Xq13.1	chrX:70338406-70362304	0	No evidence available	24039113						0	No evidence available							2018-08-22		
MED13L	23389	12q24.21	chr12:116396381-116714991	3	Sufficient evidence for dosage pathogenicity	24781760	25712080	25106414				1	Little evidence for dosage pathogenicity	25106414						2015-11-11	616789	
MEF2C	4208	5q14.3	chr5:88014058-88199922	3	Sufficient evidence for dosage pathogenicity	23389741	20513142	19592390				1	Little evidence for dosage pathogenicity							2020-02-26	613443	
MEFV	4210	16p13.3	chr16:3292028-3306627	0	No evidence available							0	No evidence available							2018-08-16		
MEG3	55384	14q32.2	chr14:101292445-101327363	1	Little evidence for dosage pathogenicity	20585555						0	No evidence available							2012-04-25	608149	
MEIS2	4212	15q14	chr15:37183222-37393500	3	Sufficient evidence for dosage pathogenicity	30291340	30735726	27225850	28934986	20425846	24678003	0	No evidence available							2021-09-14		
MEST	4232	7q32.2	chr7:130126016-130146138	0	No evidence available							0	No evidence available							2012-04-04		
MET	4233	7q31.2	chr7:116312413-116438440	0	No evidence available							0	No evidence available							2012-09-06		
METTL23	124512	17q25.1	chr17:74722912-74729963	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615942	
MFHAS1	9258	8p23.1	chr8:8641999-8751131	0	No evidence available							0	No evidence available							2012-02-08		
MFN2	9927	1p36.22	chr1:12040238-12073572	0	No evidence available							0	No evidence available							2017-02-02		
MFRP	83552	11q23.3	chr11:119209644-119217383	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	611040	
MFSD8	256471	4q28.2	chr4:128838960-128887139	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	610951	
MGP	4256	12p12.3	chr12:15033798-15038996	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-02-08	245150	
MID1	4281	Xp22.2	chrX:10413350-10851809	3	Sufficient evidence for dosage pathogenicity	23791568	29456483	32656166	9354791	11030761	17221865	0	No evidence available							2021-08-23	300000	
MID2	11043	Xq22.3	chrX:107069084-107174867	0	No evidence available							0	No evidence available							2012-07-25		
MITF	4286	3p13	chr3:69788586-70017488	3	Sufficient evidence for dosage pathogenicity	27889061	31427586	30936914	20127975			0	No evidence available							2021-04-13	193510	
MKKS	8195	20p12.2	chr20:10385428-10414887	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22		
MLC1	23209	22q13.33	chr22:50497820-50524358	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	604004	
MLH1	4292	3p22.2	chr3:37034841-37092337	3	Sufficient evidence for dosage pathogenicity	14635101	15942939	16955466	33335961	30289396	33468175	0	No evidence available							2021-10-13	609310	
MLPH	79083	2q37.3	chr2:238395053-238463961	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	609227	
MLYCD	23417	16q23.3	chr16:83932730-83949787	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	248360	
MMAA	166785	4q31.21	chr4:146540540-146581187	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	251100	
MMAB	326625	12q24.11	chr12:109991520-110011358	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-06-30	251110	
MMACHC	25974	1p34.1	chr1:45965856-45976739	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	277400	
MMADHC	27249	2q23.2	chr2:150426147-150444330	30	Gene associated with autosomal recessive phenotype							0	No evidence available	22085900						2016-07-21	277410	
MMUT	4594	6p12.3	chr6:49398073-49431041	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-25	251000	
MNX1	3110	7q36.3	chr7:156797547-156803347	3	Sufficient evidence for dosage pathogenicity	18449898	10749657					0	No evidence available							2012-10-04	176450	
MOCS2	4338	5q11.2	chr5:52391509-52405602	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	252160	
MOV10	4343	1p13.2	chr1:113216934-113243368	0	No evidence available	24463507	25363768	27824329				0	No evidence available							2019-03-12		
MPDZ	8777	9p23	chr9:13105703-13279712	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615219	
MPLKIP	136647	7p14.1	chr7:40172342-40174251	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	234050	
MSH2	4436	2p21-p16.3	chr2:47630206-47710367	3	Sufficient evidence for dosage pathogenicity	10850409	12203789	9843200	34203177	30710526		0	No evidence available							2021-10-13	120435	
MSH3	4437	5q14.1	chr5:79950467-80172634	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-05-08	617100	
MSH6	2956	2p16.3	chr2:48010221-48034092	3	Sufficient evidence for dosage pathogenicity	9354786	11709755	14974087	20028993	20487569	25318681	0	No evidence available							2021-10-13	614350	
MSRB3	253827	12q14.3	chr12:65672423-65860687	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-08-23		
MSX1	4487	4p16.2	chr4:4861392-4865663	3	Sufficient evidence for dosage pathogenicity	11369996	10742093	15264286				0	No evidence available							2021-01-12	106600	
MTAP	4507	9p21.3	chr9:21802635-21865970	1	Little evidence for dosage pathogenicity							0	No evidence available							2013-10-30		
MTFMT	123263	15q22.31	chr15:65293850-65321977	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614947	
MTHFR	4524	1p36.22	chr1:11845787-11866160	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	236250	
MTM1	4534	Xq28	chrX:149737047-149841616	3	Sufficient evidence for dosage pathogenicity	10790201	11793470	12522554				0	No evidence available							2021-01-11	310400	
MTMR2	8898	11q21	chr11:95566044-95657371	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	601382	
MTO1	25821	6q13	chr6:74171454-74211179	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614702	
MTR	4548	1q43	chr1:236958581-237067281	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	250940	
MTRR	4552	5p15.31	chr5:7869217-7901237	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	236270	
MTTP	4547	4q23	chr4:100485235-100545154	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	200100	
MUTYH	4595	1p34.1	chr1:45794914-45806142	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-11-11	608456	
MYBPC3	4607	11p11.2	chr11:47352957-47374253	3	Sufficient evidence for dosage pathogenicity	7493025	7493026, 23870641, 9562578	19574547				0	No evidence available							2015-11-12	115197	
MYCN	4613	2p24.3	chr2:16080560-16087129	3	Sufficient evidence for dosage pathogenicity	16906565	18671284	18470948				0	No evidence available							2017-07-12	164280	
MYH10	4628	17p13.1	chr17:8377523-8534079	1	Little evidence for dosage pathogenicity	25003005	25284784	25363768				0	No evidence available							2019-01-23		
MYH11	4629	16p13.11	chr16:15796992-15950887	0	No evidence available	16444274	21937134	17666408, 22968129				0	No evidence available	21698135						2015-11-12		
MYH7	4625	14q11.2	chr14:23881947-23904895	0	No evidence available							0	No evidence available							2015-11-15		
MYL2	4633	12q24.11	chr12:111348623-111358404	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-11-20	608758	
MYL3	4634	3p21.31	chr3:46899357-46904973	0	No evidence available							0	No evidence available							2015-11-18		
MYLK	4638	3q21.1	chr3:123331143-123603149	1	Little evidence for dosage pathogenicity	21055718	25907466					0	No evidence available							2016-01-14	613780	
MYO15A	51168	17p11.2	chr17:18012020-18083116	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	600316	
MYO1E	4643	15q22.2	chr15:59428168-59665071	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614131	
MYO3A	53904	10p12.1	chr10:26223002-26501465	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-03-06	607101	
MYO5A	4644	15q21.2	chr15:52599480-52821247	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	214450	
MYO5B	4645	18q21.1	chr18:47349156-47721451	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-08	251850	
MYT1L	23040	2p25.3	chr2:1792885-2335085	3	Sufficient evidence for dosage pathogenicity	27824329	23033978	25232846				0	No evidence available							2017-03-09	616521	
NAA15	80155	4q31.1	chr4:140222676-140311935	3	Sufficient evidence for dosage pathogenicity	28191889	29656860	28263302				0	No evidence available							2021-04-13		
NAALADL2	254827	3q26.31	chr3:174577111-175523428	0	No evidence available	15168106	22106001					0	No evidence available							2016-01-07		
NAT8L	339983	4p16.3	chr4:2061239-2070816	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614063	
NBAS	51594	2p24.3	chr2:15307032-15701472	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614800	
NBEA	26960	13q13.3	chr13:35516424-36246874	3	Sufficient evidence for dosage pathogenicity	30269351	12746398					0	No evidence available							2019-06-26		
NBN	4683	8q21.3	chr8:90945564-90996952	3	Sufficient evidence for dosage pathogenicity	17957789	30590007	22864661				0	No evidence available							2020-08-21		
NCF1	653361	7q11.23	chr7:74188309-74203720	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-10-10	233700	
NCF2	4688	1q25.3	chr1:183524697-183560056	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	233710	
NCF4	4689	22q12.3	chr22:37257030-37274059	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613960	
NCKAP1	10787	2q32.1	chr2:183789579-183903586	3	Sufficient evidence for dosage pathogenicity	27632392	27824329	28940097				0	No evidence available							2017-12-27		
NDE1	54820	16p13.11	chr16:15737124-15820210	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-04-29	614019	
NDN	4692	15q11.2	chr15:23930554-23932450	0	No evidence available							0	No evidence available							2012-04-26		
NDP	4693	Xp11.3	chrX:43808022-43832921	3	Sufficient evidence for dosage pathogenicity	8790105	1301161	1307245				0	No evidence available							2012-06-14	310600	
NDRG1	10397	8q24.22	chr8:134249414-134309547	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	601455	
NDUFA1	4694	Xq24	chrX:119005734-119010629	0	No evidence available							0	No evidence available							2012-07-25		
NDUFA10	4705	2q37.3	chr2:240831867-240964819	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	256000	
NDUFAF1	51103	15q15.1	chr15:41679547-41694658	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	252010	
NDUFAF2	91942	5q12.1	chr5:60240956-60448864	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
NDUFAF5	79133	20p12.1	chr20:13765672-13799067	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	252010	
NDUFB3	4709	2q33.1	chr2:201936462-201950473	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	252010	
NDUFS4	4724	5q11.2	chr5:52856463-52979171	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	252010	
NDUFS6	4726	5p15.33	chr5:1801496-1816165	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	252010	
NDUFS7	374291	19p13.3	chr19:1383883-1395588	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	256000	
NDUFS8	4728	11q13.2	chr11:67798084-67804114	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	256000	
NDUFV1	4723	11q13.2	chr11:67374323-67380012	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-03-22	252010	
NDUFV2	4729	18p11.22	chr18:9102628-9134343	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	252010	
NEBL	10529	10p12.31	chr10:21068902-21463116	0	No evidence available							0	No evidence available							2011-12-21		
NEDD9	4739	6p24.2	chr6:11183531-11382581	1	Little evidence for dosage pathogenicity	25363768						0	No evidence available							2019-02-27		
NEFL	4747	8p21.2	chr8:24808468-24814383	0	No evidence available	20039262	19158810					0	No evidence available							2018-09-17		
NEK1	4750	4q33	chr4:170314421-170533778	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2013-08-01	263520	
NELFA	7469	4p16.3	chr4:1984441-2010962	0	No evidence available							0	No evidence available							2012-09-06		
NEXMIF	340533	Xq13.3	chrX:73952691-74145287	3	Sufficient evidence for dosage pathogenicity	2756881	27358180	27568816				0	No evidence available							2019-06-26		
NF1	4763	17q11.2	chr17:29421945-29704695	3	Sufficient evidence for dosage pathogenicity	1757093	1302608					0	No evidence available							2012-07-12	162200	
NF2	4771	22q12.2	chr22:29999545-30094589	3	Sufficient evidence for dosage pathogenicity	7913580	9817927	11159946				0	No evidence available							2020-09-08	101000	
NFIA	4774	1p31.3	chr1:61542946-61928460	3	Sufficient evidence for dosage pathogenicity	22031302	24462883	27081522				0	No evidence available							2017-01-12	613735	
NGLY1	55768	3p24.2	chr3:25760435-25831530	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-02-18	615273	
NHP2	55651	5q35.3	chr5:177576464-177580961	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-03-04	613987	
NHS	4810	Xp22.2-p22.13	chrX:17393543-17754114	3	Sufficient evidence for dosage pathogenicity	14564667	15623749	16736028	22229851	28061824		0	No evidence available							2021-04-28	302350	
NIPA1	123606	15q11.2	chr15:23043279-23086843	0	No evidence available							0	No evidence available							2012-04-04		
NIPA2	81614	15q11.2	chr15:23004684-23034427	0	No evidence available							0	No evidence available							2012-04-04		
NIPBL	25836	5p13.2	chr5:36876861-37065921	3	Sufficient evidence for dosage pathogenicity	15146185	15146186	15318302				1	Little evidence for dosage pathogenicity	23085304	19052029					2020-08-26	122470	
NKX2-5	1482	5q35.1	chr5:172659107-172662315	3	Sufficient evidence for dosage pathogenicity	28690296	26679770	17891520				0	No evidence available							2020-07-22		
NKX3-2	579	4p15.33	chr4:13542454-13546114	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613330	
NLGN1	22871	3q26.31	chr3:173116238-174001139	0	No evidence available	15551338	22106001					0	No evidence available							2016-03-25		
NLGN3	54413	Xq13.1	chrX:70364681-70391051	0	No evidence available							0	No evidence available							2012-07-25		
NNAT	4826	20q11.23	chr20:36149608-36152092	0	No evidence available							0	No evidence available							2012-04-28		
NODAL	4838	10q22.1	chr10:72191692-72207704	1	Little evidence for dosage pathogenicity	19064609						0	No evidence available							2013-08-08		
NOG	9241	17q22	chr17:54671060-54672951	3	Sufficient evidence for dosage pathogenicity	12089654	16532400	11846737				0	No evidence available							2021-01-12	186500	
NOTCH2	4853	1p12	chr1:120454176-120612317	0	No evidence available							0	No evidence available							2014-07-17	610205	
NPC1	4864	18q11.2	chr18:21111463-21166581	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	257220	
NPHP1	4867	2q13	chr2:110880913-110962639	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-10-10		
NPHP4	261734	1p36.31	chr1:5922868-6052533	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	606996	
NPHS1	4868	19q13.12	chr19:36316274-36342895	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	256300	
NPTX2	4885	7q22.1	chr7:98246597-98259181	0	No evidence available							0	No evidence available							2012-10-10		
NR0B1	190	Xp21.2	chrX:30322539-30327495	3	Sufficient evidence for dosage pathogenicity	16684822	15841486	11748852				0	No evidence available							2020-05-05	300200	
NR2F2	7026	15q26.2	chr15:96869157-96883492	0	No evidence available							0	No evidence available							2012-07-10		
NR3C2	4306	4q31.23	chr4:148999915-149363672	3	Sufficient evidence for dosage pathogenicity	9662404	16954160	27725360				0	No evidence available							2020-04-06	177735	
NR5A1	2516	9q33.3	chr9:127243515-127269699	3	Sufficient evidence for dosage pathogenicity	15579739	15472171	21654157	22028768	17488792	19246354	0	No evidence available							2021-02-24	612965	
NRG3	10718	10q23.1	chr10:83635070-84746935	0	No evidence available							0	No evidence available	21248748						2011-12-21		
