Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
RNASEH2C	gene	RNASEH2C	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 3 610329;Type 1 interferonopathies;Classical AGS;Autoinflammatory Disorders				16845400;17846997;23322642;25604658		False	3	100;0;0	2.465	False		ENSG00000172922	ENSG00000172922	HGNC:24116													
RNF168	gene	RNF168	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	RIDDLE syndrome 611943;RNF168 deficiency;Short stature, mild defect of motor control to ataxia, normal intelligence to learning difficulties, mild facial dysmorphism to microcephaly,  increased radiosensitivity;Combined immunodeficiencies with associated or syndromic features				19203578;21394101;29255463		False	3	100;0;0	2.465	False		ENSG00000163961	ENSG00000163961	HGNC:26661													
RORC	gene	RORC	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 42 616622;Susceptibility to candidasis & Mycobacterial infection;Susceptibility to mycobacteria and candida;Defects in Intrinsic and Innate Immunity				26160376		False	3	100;0;0	2.465	False		ENSG00000143365	ENSG00000143365	HGNC:10260													
RPSA	gene	RPSA	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Isolated congential asplenia 271400;Bacteremia (encapsulated bacteria);Defects in Intrinsic and Innate Immunity				22560297;23579497		False	3	100;0;0	2.465	False		ENSG00000168028	ENSG00000168028	HGNC:6502													
RTEL1	gene	RTEL1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hoyeraal-Hreidarsson syndrome/ Dyskeratosis congenita, 4 615190;Dyskeratosis congenita, 5 615190;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features				23453664;23959892;23591994		False	3	100;0;0	2.465	False		ENSG00000258366	ENSG00000258366	HGNC:15888													
SAMHD1	gene	SAMHD1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 5 612952;Type 1 interferonopathies;Classical AGS, FCL;Autoinflammatory Disorders				19525956;20358604;21102625		False	3	100;0;0	2.465	False		ENSG00000101347	ENSG00000101347	HGNC:15925													
SBDS	gene	SBDS	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Shwachman-Diamond syndrome, 260400;Shwachman-Bodian-Diamond syndrome;Shwachman-Diamond-syndrome;Pancytopenia, exocrine pancreatic insufficiency, chondrodysplasia;Congenital defects of phagocyte number or function				12496757;11342425;14749921		False	3	100;0;0	2.465	False		ENSG00000126524	ENSG00000126524	HGNC:19440													
SERPING1	gene	SERPING1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Angioedema, hereditary, types I and II 106100;Hereditary Angioedema (C1inh);Complement component 4, partial deficiency of 120790;Hereditary angioedema;Complement Deficiencies				1597123;7883978		False	3	100;0;0	2.465	False		ENSG00000149131	ENSG00000149131	HGNC:1228													
SGPL1	gene	SGPL1	Combined B and T cell defect v1.12;Expert Review Green;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome 14, 617575;drenal insufficiency;steroid-resistant nephrotic syndrome;focal segmental glomerulosclerosis;lymphopenia				28181337; 28165339; 28165343		False	3	100;0;0	2.465	False		ENSG00000166224	ENSG00000166224	HGNC:10817													
SH2D1A	gene	SH2D1A	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Lymphoproliferative syndrome, X-linked, 1 308240;Lymphoproliferative syndrome, X-linked, 1 (XLP1);X-linked lymphoproliferative syndrome (XLP);EBV, HLH, Lymphoproliferation, Aplastic anaemia, Lymphoma. Hypogammaglobulinemia, Absent iNKT cells;Diseases of Immune Dysregulation				21119115;29670631;10556288;9774102;11049992;10598819;9771704;10694488;25085526;31754776		False	3	100;0;0	2.465	False		ENSG00000183918	ENSG00000183918	HGNC:10820													
SKIV2L	gene	SKIV2L	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Trichohepatoenteric syndrome 2,614602;Trichohepatoenteric syndrome;Immune dysfunction				29484573;29145277;28944135		False	3	100;0;0	2.465	False		ENSG00000204351	ENSG00000204351	HGNC:10898													
SLC29A3	gene	SLC29A3	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Histiocytosis-lymphadenopathy plus syndrome 602782;Other autoinflammatory diseases with known genetic defect;Hyperpigmentation hypertrichosis, histiocytosis-lymphadenopathy plus syndrome;Autoinflammatory Disorders				17461801;19336477;23530176;18940313;22238637;16118898;22875837;19175903;21888995;20140240;16155931;21178579;9545394;16650224;22653152;18947330;20619369		False	3	100;0;0	2.465	False		ENSG00000198246	ENSG00000198246	HGNC:23096													
SLC35C1	gene	SLC35C1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type IIc 266265;Leukocyte adhesion deficiency (LAD);Mild LAD type 1 features with hh-blood group, growth retardation, developmental delay;Congenital defects of phagocyte number or function				11326279;11326280;12116250;1279426;11213799;24403049		False	3	100;0;0	2.465	False		ENSG00000181830	ENSG00000181830	HGNC:20197													
SLC37A4	gene	SLC37A4	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Glycogen storage disease Ic;Glycogen storage disease Ib, 232220;Glycogen storage disease Ib;Glycogen storage disease type 1b (GS1b);Glycogen storage disease with or without neutropenia;Fasting hypoglycemia, lactic acidosis, hyperlipidemia, hepatomegaly;Congenital defects of phagocyte number or function				12576310; 9428641; 10482962		False	3	100;0;0	2.465	False		ENSG00000137700	ENSG00000137700	HGNC:4061													
SLC46A1	gene	SLC46A1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Folate malabsorption, hereditary 229050;Defects of Vitamin B12 and Folate metabolism;Congenital defect of folate absorption;Megaloblastic anemia, failure to thrive, if untreated for prolonged periods results in intellectual disability;Combined immunodeficiencies with associated or syndromic features				17129779;27664775;17446347		False	3	100;0;0	2.465	False		ENSG00000076351	ENSG00000076351	HGNC:30521													
SMARCAL1	gene	SMARCAL1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Schimke immunoosseous dysplasia 242900;Schimke disease;Short stature, spondiloepiphyseal dysplasia, intrauterine growth retardation, nephropathy, bacterial, viral, fungal infections, may present as SCID, bone marrow failure;Combined immunodeficiencies with associated or syndromic features				11799392;17089404		False	3	100;0;0	2.465	False		ENSG00000138375	ENSG00000138375	HGNC:11102													
SP110	gene	SP110	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hepatic venoocclusive disease with immunodeficiency 235550;Hepatic venoocclusive disease with immunodeficiency (VODI);Hepatic veno-occlusive disease,  Susceptibility to Pneumocystis jirovecii pneumonia, CMV, candida, thrombocytopenia, hepatosplenomegaly, cerebrospinal leukodystrophy;Combined immunodeficiencies with associated or syndromic features				16648851		False	3	100;0;0	2.465	False		ENSG00000135899	ENSG00000135899	HGNC:5401													
SPINK5	gene	SPINK5	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Netherton syndrome 256500;Congenital ichthyosis, bamboo hair, atopic diathesis, increased bacterial infections, failure to thrive;Combined immunodeficiencies with associated or syndromic features				19683336;10835624;28832989;28943498;28289593		False	3	100;0;0	2.465	False		ENSG00000133710	ENSG00000133710	HGNC:15464													
SPPL2A	gene	SPPL2A	Expert Review;Expert Review Green;Literature;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria;Defects in Intrinsic and Innate Immunity				30264912;30127434		False	3	80;20;0	2.465	False		ENSG00000138600	ENSG00000138600	HGNC:30227													
STAT1	gene	STAT1	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Immunodeficiency 31A, mycobacteriosis, autosomal dominant 614892;Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive 613796;Immunodeficiency 31C, autosomal dominant 614162;Immunodeficiency 31A, mycobacteriosis;Candidiasis, familial, 7;Combined immunodeficiency;Chronic mucocutaneous candidiasis (CMC);Defects with susceptibility to mycobacterial infection (MSMD);Severe viral infections, mycobacterial infection;CMC, various fungal, bacterial and viral (HSV) infections, auto-immunity (thyroiditis, diabetes, cytopenias), enteropathy;Susceptibility to mycobacteria, Salmonella;Defects in Intrinsic and Innate Immunity				21727188;23709754;23541320;23534974;26513235;11452125;12590259;29702748		False	3	100;0;0	2.465	False	Other - please provide details in the comments	ENSG00000115415	ENSG00000115415	HGNC:11362													
STAT2	gene	STAT2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	STAT2 deficiency;Predisposition to several viral infection;Immunodeficiency 44, 616636;Severe viral infections (disseminated vaccine-strain measles);Defects in Intrinsic and Innate Immunity				23391734;26122121;28087227		False	3	100;0;0	2.465	False		ENSG00000170581	ENSG00000170581	HGNC:11363													
STAT3	gene	STAT3	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Autoimmune disease, multisystem, infantile-onset, 1 615952;Hyper-IgE recurrent infection syndrome 147060;Autoimmune disease, multisystem, infantile-onset;Early-onset multi-organ autoimmune disease;Hyper IgE syndrome (HIES);Combined immunodeficiencies with associated or syndromic features;Diseases of Immune Dysregulation				28402852;25349174;17881745;17676033;25359994;25038750		False	3	100;0;0	2.465	False	Other - please provide details in the comments	ENSG00000168610	ENSG00000168610	HGNC:11364													
STAT5B	gene	STAT5B	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Growth hormone insensitivity with immunodeficiency 245590;T-B+ SCID;Combined immunodeficiency;Growth-hormone insensitive dwarfism, dysmorphic features, eczema, lymphocytic interstitial pneumonitis, autoimmunity;Combined immunodeficiencies with associated or syndromic features				29844444;26703237;17030597;16920911;15827093;16787985;17389811;13679528;20538865		False	3	71;0;29	2.465	False		ENSG00000173757	ENSG00000173757	HGNC:11367													
STIM1	gene	STIM1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	T-B+ SCID;Immunodeficiency 10, 612783;Combined immunodeficiency;Combined immunodeficiency due to STIM1 deficiency;Autoimmunity, EDA, non-progressive myopathy;Combined immunodeficiencies with associated or syndromic features;Combined immunodeficiency due to STIM1 deficiency ORPHA:317430				26560041;20876309;22190180;19420366;24621671;24570283		False	3	67;0;33	2.465	False		ENSG00000167323	ENSG00000167323	HGNC:11386													
STK4	gene	STK4	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hypergammaglobulinaemia, lymphopenia, combined immunodeficiency, congenital heart disease, autoimmunity;T-cell immunodeficiency, recurrent infections, autoimmunity, and cardiac malformations, 614868;AR hyperimmunoglobulin E syndrome;Combined immunodeficiency;Intermittent neutropenia, bacterial, viral (HPV), candidal infections, EBV lymphoproliferation, autoimmune cytopenias, lymphoma, congenital heart disease;Immunodeficiencies affecting cellular and humoral immunity				22294732;26801501;24453252;26117625;22174160		False	3	100;0;0	2.465	False		ENSG00000101109	ENSG00000101109	HGNC:11408													
STX11	gene	STX11	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hemophagocytic lymphohistiocytosis, familial 4, 603552;FHL4;Familial hemophagocytic lymphohistiocytosis syndromes (FHLH);HPLH4;HLH4;Fever, HSM, cHLH, cytopenias,;Diseases of Immune Dysregulation				16278825;18710388;16582076;20301617;24459464;15703195		False	3	100;0;0	2.465	False		ENSG00000135604	ENSG00000135604	HGNC:11429													
STXBP2	gene	STXBP2	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hemophagocytic lymphohistiocytosis, familial 5, 613101;FHL5;Familial hemophagocytic lymphohistiocytosis syndromes (FHLH);Fever, HSM, cHLH, cytopenias, enteropathy;Diseases of Immune Dysregulation				19884660;30557712;29776323;22451424;20798128;20301617;19804848		False	3	100;0;0	2.465	False		ENSG00000076944	ENSG00000076944	HGNC:11445													
TAP1	gene	TAP1	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Bare lymphocyte syndrome, type I 604571;HLA class I deficiency;Vasculitis, pyoderma gangrenosum;Immunodeficiencies affecting cellular and humoral immunity				11529920;7517574;10560675;20083708;10074494		False	3	100;0;0	2.465	False		ENSG00000168394	ENSG00000168394	HGNC:43													
TAP2	gene	TAP2	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Bare lymphocyte syndrome, type I, due to TAP2 deficiency 604571;HLA class I deficiency;Wegener-like granulomatosis;Vasculitis, pyoderma gangrenosum;Immunodeficiencies affecting cellular and humoral immunity				11529920;7517574;10560675;20083708		False	3	100;0;0	2.465	False		ENSG00000204267	ENSG00000204267	HGNC:44													
TAZ	gene	TAZ	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Barth syndrome;Cardioskeletal myopathy with neutropenia and abnormal mitochondria;3-methylglutaconic aciduria, type II, 302060;Cardiomyopathy, myopathy, growth retardation, neutropenia;Congenital defects of phagocyte number or function						False	3	100;0;0	2.465	False		ENSG00000102125	ENSG00000102125	HGNC:11577													
TBK1	gene	TBK1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Herpes simplex encephalitis, susceptibility to;Herpetic encephalitis (HSE);{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8} 617900;Herpes simplex virus 1 encephalitis;Defects in Intrinsic and Innate Immunity				22851595;26513235		False	3	100;0;0	2.465	False		ENSG00000183735	ENSG00000183735	HGNC:11584													
TCF3	gene	TCF3	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Agammaglobulinemia;Agammaglobulinemia 8, autosomal dominant, 616941;Primary immunodeficiency;Recurrent bacterial infections;Predominantly Antibody Deficiencies				24216514;28532655;29114388;30063982		False	3	100;0;0	2.465	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000071564	ENSG00000071564	HGNC:11633													
TCN2	gene	TCN2	Agranulocytosis v1.3;A- or hypo-gammaglobulinaemia v1.25;Combined B and T cell defect v1.12;Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Transcobalamin II deficiency, 275350;Transcobalamin II deficiency;can have a presentation similar to severe combined immunodeficiency;pancytopenia;neutropenic colitis;Agammaglobulinemia;megaloblastic bone;Transcobalamin-2 precursor;Defects of Vitamin B12 and Folate metabolism;Megaloblastic anemia, pancytopenia, if untreated for prolonged periods results in intellectual disability;Combined immunodeficiencies with associated or syndromic features				18956254;20352340;7849710;7980584;12107818;19373259;24305960		False	3	100;0;0	2.465	False		ENSG00000185339	ENSG00000185339	HGNC:11653													
TICAM1	gene	TICAM1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Encephalopathy, acute, infection-induced, susceptibility to, 6 614850;Herpetic encephalitis (HSE);Herpes simplex virus 1 encephalitis;Defects in Intrinsic and Innate Immunity				22105173;26513235		False	3	100;0;0	2.465	False		ENSG00000127666	ENSG00000127666	HGNC:18348													
TLR3	gene	TLR3	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Herpes simplex encephalitis, susceptibility to, 2;Herpetic encephalitis (HSE);Herpes simplex virus 1 encephalitis (incomplete clinical penetrance for all etiologies listed here);Defects in Intrinsic and Innate Immunity				21911422;25339207;25339207;28368532		False	3	100;0;0	2.465	False	Other - please provide details in the comments	ENSG00000164342	ENSG00000164342	HGNC:11849													
TMC6	gene	TMC6	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Epidermodysplasia verruciformis, 226400;Human papillomavirus (HPV) (group B1) infections and cancer of the skin (typical EV);Defects in Intrinsic and Innate Immunity				15356576;28196644;12426567;15042430;17008061		False	3	100;0;0	2.465	False		ENSG00000141524	ENSG00000141524	HGNC:18021													
TMC8	gene	TMC8	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Epidermodysplasia verruciformis, 226400;HPV (group B1) infections and cancer of the skin (typical EV);Defects in Intrinsic and Innate Immunity				15356576;28196644;12426567;26997147;28646613		False	3	100;0;0	2.465	False		ENSG00000167895	ENSG00000167895	HGNC:20474													
TMEM173	gene	TMEM173	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	STING-associated vasculopathy, infantile-onset 615934;Type 1 interferonopathies;Skin vasculopathy, inflammatory lung disease, systemic autoinflammation and ICC, FCL;Autoinflammatory Disorders				25401470;29425920;25029335;29491158;29976662;30705050		False	3	100;0;0	2.465	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000184584	ENSG00000184584	HGNC:27962													
TNFAIP3	gene	TNFAIP3	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	A20 deficiency;Autoinflammatory syndrome, familial, Behcet-like, 616744;Autoimmune lymphoproliferative syndrome;Arthralgia, mucosal ulcers, ocular inflammation;Autoinflammatory Disorders				31164164;29317407;26642243;28659290;27845235;29572183		False	3	100;0;0	2.465	False		ENSG00000118503	ENSG00000118503	HGNC:11896													
TNFRSF1A	gene	TNFRSF1A	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Periodic fever, familial 142680;TNF-receptor associated periodic fever syndrome (TRAPS);Recurrent fever, serositis, rash, and ocular or joint inflammation;Autoinflammatory Disorders				10199409;12209523;11175303;10902757;23965844;17360963;11115159		False	3	100;0;0	2.465	False		ENSG00000067182	ENSG00000067182	HGNC:11916													
TPP2	gene	TPP2	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Tripeptidyl-Peptidase II Deficiency;TPP2 deficiency;Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome;immune thrombocytopenia and autoimmune hemolytic anemia;Evans syndrome;Variable lymphoproliferation, severe autoimmune cytopenias, hypergammaglobulinemia, recurrent infections;Diseases of Immune Dysregulation				25414442;25525876		False	3	100;0;0	2.465	False		ENSG00000134900	ENSG00000134900	HGNC:12016													
TRAC	gene	TRAC	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 7, TCR-alpha/beta deficient, 615387;Combined immunodeficiency;Recurrent viral, bacterial, fungal infections, immune dysregulation and autoimmunity, diarrhea;Immunodeficiencies affecting cellular and humoral immunity				21206088;3464003		False	3	100;0;0	2.465	False		ENSG00000229164	ENSG00000277734	HGNC:12029													
TREX1	gene	TREX1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 1, dominant and recessive, 225750;Type 1 interferonopathies;Classical AGS, SLE, FCL;Autoinflammatory Disorders				16845398;25604658;21808053;17846997;20799324		False	3	100;0;0	2.465	False		ENSG00000213689	ENSG00000213689	HGNC:12269													
TRNT1	gene	TRNT1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Congenital sideroblastic anemia with immunodeficiency, fevers, and developmental delay (SIFD);Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay, 616084;congenital sideroblastic anemia, deafness, developmental delay;Predominantly Antibody Deficiencies				23553769;29055896;25193871		False	3	100;0;0	2.465	False		ENSG00000072756	ENSG00000072756	HGNC:17341													
TTC37	gene	TTC37	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Trichohepatoenteric syndrome 1, 222470;Intrauterine growth retardation, woolly hair;facial dysmorphism;intractable diarrhoea in infancy requiring total parenteral nutrition;Hypogammaglobulinaemia;Trichohepatoenteric syndrome;immune dysfunction;Recurrent bacterial and viral infections, Abnormal hair findings: trichorrhexis nodosa;Predominantly Antibody Deficiencies				20176027;21120949;25688341;28944135;29383842;28292286		False	3	100;0;0	2.465	False		ENSG00000198677	ENSG00000198677	HGNC:23639													
